ID,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1,Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/16,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
2,Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8/10/16,2.5,3067,1,1,1,0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
3,Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/16,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
4,Abbotsford,45 William St,2,h,1172500,S,Biggin,13/8/16,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
5,Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22/8/16,2.5,3067,1,1,1,0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
6,Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/3/17,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
7,Airport West,36 Roberts Rd,7,h,785000,S,Considine,6/8/16,13.5,3042,3,1,2,597,127,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
8,Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/16,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
9,Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/16,13.5,3042,3,1,1,0,105,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
10,Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/16,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
11,Airport West,180 Parer Rd,3,h,830000,S,Barry,16/4/16,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
12,Airport West,174 Parer Rd,2,h,675000,S,Barry,16/7/16,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
13,Airport West,106 Parer Rd,3,h,790000,S,Nelson,18/3/17,13.5,3042,3,1,3,614,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
14,Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/9/16,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
15,Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/16,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
16,Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/2/17,3.3,3206,1,1,0,0,34,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
17,Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,26/7/16,3.3,3206,3,3,1,0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
18,Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28/8/16,3.3,3206,3,2,0,152,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
19,Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,28/8/16,6.4,3078,3,0,0,597,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
20,Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/7/16,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
21,Altona,4 Blyth St,3,h,1120000,S,Barlow,4/3/17,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
22,Altona,1/170 Blyth St,3,u,630000,S,Barlow,6/8/16,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
23,Altona,1/136 Queen St,2,u,580000,S,Barlow,8/10/16,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
24,Altona,4/31 Millers Rd,2,u,391000,SP,Greg,11/2/17,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301
25,Altona North,1/5 Little St,3,h,720000,VB,Greg,6/8/16,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132
26,Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,10/12/16,11.1,3025,3,1,3,554,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132
27,Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/5/16,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
28,Altona North,21 Neal Ct,3,h,770000,SP,hockingstuart,19/11/16,11.1,3025,3,1,3,602,603,,Hobsons Bay,-37.8327,144.8451,Western Metropolitan,5132
29,Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/16,6.3,3143,3,2,2,101,105,2000,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
30,Armadale,3/16 Fulton St,2,u,678000,S,hockingstuart,4/3/17,6.3,3143,2,1,2,0,,,Stonnington,-37.8538,145.0127,Southern Metropolitan,4836
31,Armadale,553 Dandenong Rd,5,h,1525000,PI,Jellis,7/5/16,6.3,3143,8,2,2,693,,,Stonnington,-37.8638,145.0229,Southern Metropolitan,4836
32,Armadale,40 New St,2,h,1210000,S,Marshall,12/11/16,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
33,Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19/11/16,6.3,3143,2,1,1,0,74,1969,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
34,Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/2/17,6.3,3143,2,1,1,2471,80,1970,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
